Body 233: x = -350.787, y = 698.469, z = -1946.179, Fx = 0.000, Fy = -0.001, Fz = 0.003
Body 234: x = -1392.032, y = 738.884, z = 382.457, Fx = 0.004, Fy = -0.001, Fz = -0.000
Body 235: x = 1420.795, y = -1253.261, z = 1238.736, Fx = -0.009, Fy = 0.014, Fz = 0.004
Body 236: x = -289.168, y = -380.372, z = -92.379, Fx = 0.001, Fy = 0.003, Fz = 0.001
Body 237: x = -1343.656, y = -485.020, z = 1122.497, Fx = 0.003, Fy = 0.000, Fz = -0.001
Body 238: x = -292.578, y = 344.862, z = 138.795, Fx = 0.000, Fy = -0.001, Fz = -0.001
Body 239: x = 1740.055, y = 659.840, z = 1926.188, Fx = -0.003, Fy = -0.000, Fz = -0.004
Body 240: x = 549.620, y = 1067.835, z = -790.097, Fx = -0.002, Fy = -0.001, Fz = 0.002
Body 241: x = 620.668, y = 1716.916, z = -1126.448, Fx = -0.000, Fy = -0.003, Fz = 0.001
Body 242: x = 1202.852, y = -874.347, z = 770.582, Fx = -0.002, Fy = 0.001, Fz = 0.000
Body 243: x = 729.200, y = 1116.616, z = -2514.520, Fx = -0.001, Fy = -0.001, Fz = 0.003
Body 244: x = -1691.102, y = -1813.302, z = 369.107, Fx = 0.002, Fy = 0.004, Fz = -0.000
Body 245: x = 147.506, y = -1391.195, z = -308.276, Fx = -0.000, Fy = 0.003, Fz = 0.000
Body 246: x = 375.620, y = -1007.957, z = -1941.495, Fx = -0.000, Fy = 0.001, Fz = 0.003
Body 247: x = -844.488, y = 2042.960, z = 1531.282, Fx = 0.001, Fy = -0.004, Fz = -0.002
Body 248: x = -1675.166, y = 1345.007, z = 758.228, Fx = 0.005, Fy = -0.002, Fz = -0.001
Body 249: x = -14066.337, y = -4621.478, z = -1563.746, Fx = 0.000, Fy = 0.000, Fz = 0.000
Body 250: x = 1288.049, y = 1636.708, z = -1496.722, Fx = -0.002, Fy = -0.001, Fz = 0.002
Body 251: x = -1346.226, y = 1250.980, z = 873.013, Fx = 0.003, Fy = -0.001, Fz = -0.001
Body 252: x = 1708.140, y = 585.433, z = -715.920, Fx = -0.003, Fy = -0.000, Fz = 0.001
Body 253: x = 8.215, y = -2060.782, z = 1607.445, Fx = 0.000, Fy = 0.004, Fz = -0.002
Body 254: x = 1937.517, y = 1632.980, z = -807.266, Fx = -0.004, Fy = -0.001, Fz = 0.001
Body 255: x = -909.926, y = -1009.060, z = -1021.905, Fx = -0.000, Fy = 0.002, Fz = -0.000
